Название категории;Название группы;Название подгруппы;Название раздела;Название подраздела;ID товара;Название товара;Цена;Склад;
Фрезы (культиваторы);Навесное оборудование;;;; 226;Комплект культиваторов для мотоблоков типа МБ;2700;99;
Фрезы (культиваторы);Навесное оборудование;;;; 225;Почвофреза для мотоблоков Агрос (Агро), МТЗ Беларус;17400;99;
Бензиновые генераторы;Мотопомпы, генераторы;;;; 217;Бензиновый генератор Lianlong LL 4,0 GF-3A;16200;99;
Бензиновые генераторы;Мотопомпы, генераторы;;;; 216;Бензиновый генератор Lianlong LL 2,5 GF-3A;12800;99;
Бензиновые мотопомпы;Мотопомпы, генераторы;;;; 215;Мотопомпа Hitachi A160EA;14500;99;
Бензиновые мотопомпы;Мотопомпы, генераторы;;;; 214;Мотопомпа Hitachi A25EB;8300;99;
Бензиновые мотопомпы;Мотопомпы, генераторы;;;; 213;Мотопомпа Lianlong LL TW 30 для грязной воды;9700;99;
Бензиновые мотопомпы;Мотопомпы, генераторы;;;; 212;Мотопомпа Lianlong LL HW 51A;9000;99;
Бензиновые мотопомпы;Мотопомпы, генераторы;;;; 211;Мотопомпа Lianlong LL QD 50-30А;7000;99;
Бензиновые мотопомпы;Мотопомпы, генераторы;;;; 210;Мотопомпа Lianlong LL QDZ 40-25;4800;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 209;Опора сварная для двигателя;700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 208;Шкив для двигателя;700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 207;Двигатель Dinking DK182F;12900;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 206;Двигатель Dinking DK170F;8500;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 205;Двигатель Dinking DK168F-1;7900;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 204;Двигатель Dinking DK168F;6700;99;
Все двигатели для мотоблоков;Двигатели для мотоблоков;;;; 203;Двигатель Lianlong LL173F;10300;99;
