Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
8806;;"Мотокультиватор Мобил К МКМ-1-168FB";23690;0;0;0;0;1;1;61;42;0
234;ps_234;"Рама с двумя замками СВ-1/1 для мотоблоков";1280;0;0;0;0;0;0;96;6;0
235;ps_235;"Рама с двумя замками СУ-4 для адаптера";1280;0;0;0;0;0;0;98;6;0
236;ps_236;"Сцепка База-2 для мотоблоков типа МБ и МКМ-3 Lander";740;0;0;0;0;0;0;99;2;0
237;ps_237;"Сцепка База для мотоблоков Салют, Фаворит";740;0;0;0;0;0;0;99;2;0
8807;;"Мотокультиватор Мобил К МКМ-1Р-168FB";26490;0;0;0;0;1;1;69;42;0
238;ps_238;"Сцепка МК-100";640;0;0;0;0;0;0;98;2;0
239;ps_239;"Сцепка МКМ-75";640;0;0;0;0;0;0;99;0;0
240;ps_240;"Сцепка Крот";600;0;0;0;0;0;0;97;1;0
241;ps_241;"Грунтозацепы 600 мм для мотоблоков МКМ-3, Салют";2880;0;0;0;0;0;0;97;18;10
242;ps_242;"Грунтозацепы 425x200 мм для мотоблоков МКМ-3, Салют";2720;0;0;0;0;0;0;99;18;8
8808;;"Мотокультиватор Мобил К МКМ-1Р-Б6.5";29990;0;0;0;0;1;1;5;42;0
243;ps_243;"Грунтозацепы 500x200 мм для мотоблоков МКМ-3, Салют";3120;0;0;0;0;0;0;99;18;9
244;ps_244;"Грунтозацепы 460x160 мм для мотоблоков МКМ-3, Салют";2720;0;0;0;0;0;0;96;15;7
245;ps_245;"Грунтозацепы 425 мм для мотоблоков МКМ-3, Салют";2160;0;0;0;0;0;0;99;15;6
246;ps_246;"Грунтозацепы 500 мм для мотоблоков МКМ-3, Салют";2480;0;0;0;0;0;0;99;15;5
247;ps_247;"Грунтозацепы Крот";1600;0;0;0;0;0;0;98;12;3
8809;;"Мотокультиватор Мобил К МКМ-1Р-GP200";34990;0;0;0;0;1;1;0;42;0
248;ps_248;"Грунтозацепы МК-100";1600;0;0;0;0;0;0;98;12;2
249;ps_249;"Грунтозацепы 320x200 мм для мотокультиваторов МК-100";2240;0;0;0;0;0;0;99;12;0
250;ps_250;"Грунтозацепы 350x110 мм";2080;0;0;0;0;0;0;99;12;0
251;ps_251;"Грунтозацепы 350х130 мм для мотоблока НМБ-1 старой модификации";2080;0;0;0;0;0;0;101;15;-2
252;ps_252;"Грунтозацепы 500х130 мм для мотоблока НМБ-1 старой модификации";2100;0;0;0;0;0;0;99;15;-2
8810;;"Мотокультиватор Мобил К МКМ-2Р2-168 FB";28990;0;0;0;0;0;0;59;65;0
253;ps_253;"Грунтозацепы для мотоблоков Агрос, МТЗ Беларус";3200;0;0;0;0;0;0;98;20;4
254;ps_254;"Удлинители грунтозацепов для мотоблоков МБ";850;0;0;0;0;0;0;95;2;0
255;ps_255;"Картофелевыкапыватель КВ-3 для мотоблоков";990;0;0;0;0;0;0;97;5;0
256;ps_256;"Картофелевыкапыватель КВ-2 для мотокультиваторов";740;0;0;0;0;0;0;97;3;0
257;ps_257;"Щетка ЩМ-0,9 Торнадо для мотоблоков МКМ-3 Lander, Hitachi S169";20600;0;0;0;0;0;0;100;45;1
258;ps_258;"Щетка ЩМ-0,9 Торнадо для мотоблоков Агрос, МТЗ Беларус";24990;0;0;0;0;0;0;98;0;1
259;ps_259;"СМ-0,6 Мегалодон - Снегоуборщик для мотоблоков Нева, Ока, Lander и др.";14850;0;0;0;0;0;0;98;46;1
260;ps_260;"СМ-0,6 Мегалодон - Снегоуборщик для мотоблоков Салют";15150;0;0;0;0;0;0;99;46;2
8811;;"Мотокультиватор Мобил К МКМ-2Р2-ДК7";29690;0;0;0;0;0;0;99;65;0
261;ps_261;"СМ-0,6 Мегалодон - Снегоуборщик для мотоблоков Агрос (Агро), МТЗ Беларус";24975;0;0;0;0;0;0;101;54;3
262;ps_262;"СМ-0,6 Мегалодон - Снегоуборщик для мотоблока Угра";24975;0;0;0;0;0;0;96;54;0
263;ps_263;"Косилка КМ-0,5 Терминатор для мотоблоков Салют";12300;0;0;0;0;0;0;99;27;0
264;ps_264;"Косилка КМ-0,5 Терминатор для мотоблоков Агрос, МТЗ Беларус";17700;0;0;0;0;0;0;99;0;0
265;ps_265;"Роторная косилка «Заря» для мотоблоков МБ и МКМ-3 Lander";13350;0;12490;0;0;0;1;89;33;2
266;ps_266;"Роторная косилка «Заря» для мотоблока Салют";14650;0;12990;0;0;0;0;97;33;2
267;ps_267;"Роторная косилка «Заря-1» для мотоблока НМБ-1 Угра";15900;0;14690;0;0;0;0;99;0;2
268;ps_268;"Переходник-адаптер для роторной косилки Заря к мотоблоку МКМ-3 Lander";600;0;0;0;0;0;0;99;2;0
8812;;"Мотокультиватор Мобил К МКМ-2Р2-GP200";37990;0;0;0;0;0;0;1;65;0
1867;112932;"Электрический снегоуборщик AL-KO SnowLine 46 E";8990;0;0;0;0;1;0;0;16;0
269;ps_269;"Редуктор-переходник для роторной косилки Заря к мотоблокам МТЗ, Агрос";8400;0;0;0;0;1;1;99;0;0
270;out270;"Косилка Агрос сегментная";16500;0;0;0;0;0;0;99;0;0
271;ps_271;"Нож косилки Заря";100;0;0;0;0;0;0;59;0.01;0
272;ps_272;"Ось ножа (палец) косилки Заря";100;0;0;0;0;0;0;60;0.01;0
273;out273;"Лопата (отвал) для мотоблоков Нева, Ока, Lander, Каскад, Hitachi и др.";4700;0;0;0;0;0;0;97;28;0
274;ps_274;"Лопата (отвал) для мотоблоков Агро (Агрос), МТЗ Беларус";7200;0;0;0;0;0;0;99;25;0
275;out275;"Тележка ТПМ-350-2 для мотоблоков";13290;0;0;0;0;0;0;99;0;0
276;ps_276;"Тележка ТПМ-350-1 для мотоблоков";15990;0;0;0;0;0;0;99;93;0
277;ps_277;"Тележка ТПМ-350-1 оцинкованная для мотоблоков";17200;0;0;0;0;1;0;97;100;0
278;ps_278;"Тележка ТПМ-350 для мотоблоков";16600;0;0;0;0;0;0;99;100;0
279;ps_279;"Тележка ТПМ-350 оцинкованная для мотоблоков";18100;0;0;0;0;0;0;97;100;0
